,name_id,term,name,sex,party,partyGroup,areaName,onboardDate,leaveFlag,leaveDate,leaveReason,party_num,party_group_num,birth_date,age,place_of_birth,degree,incumbent,valid_votes,total_votes,electorate,pop,electorate_over_pop_pct,total_votes_over_electorate_pct,elected_over_cands_pct,vote,vote_over_total_votes_pct,vote_margin,vote_over_total_votes_pct_margin,constituency,tier,lnpopudensity,experience,defect_date,defect_period,president,vice_president
0,0,8,丁守中,1,中國國民黨,中國國民黨,台北市第1選舉區,2012-02-01,否,,,1,1,1954-09-01,58,高雄市,6,1,202270,204766,265606,337894,78.61,77.09,20.0,112571,55.65,30531,15.100000000000001,臺北市1,1,8.410959243774414,5,,,0,0
1,3,8,何欣純,2,民主進步黨,民主進步黨,台中市第7選舉區,2012-02-01,否,,,16,16,1973-12-18,39,臺中市,5,2,200799,202549,268042,356659,75.15,75.57,25.0,101006,50.3,8637,4.299999999999997,臺中市7,1,8.328047752380371,0,,,0,0
2,10,8,劉建國,1,民主進步黨,民主進步黨,雲林縣第2選舉區,2012-02-01,否,,,16,16,1969-03-09,43,臺灣省,3,1,199017,202298,281295,361697,77.77,71.92,33.33,121368,60.98,47536,23.889999999999993,雲林縣2,1,6.439717769622803,1,,,0,0
3,11,8,劉櫂豪,1,民主進步黨,民主進步黨,台東縣選舉區,2012-02-01,否,,,16,16,1967-02-02,45,臺灣省,3,2,76170,77561,118916,148509,80.07,65.22,20.0,31685,41.59,9132,11.990000000000002,臺東縣,1,4.907938003540039,0,,,0,0
4,14,8,吳宜臻,2,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1970-04-23,42,新北市,5,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
5,25,8,吳秉叡,1,民主進步黨,民主進步黨,全國不分區及僑居國外國民,2012-02-01,否,,,16,16,1966-10-07,46,臺灣省,5,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,1,,,0,0
6,26,8,吳育仁,1,中國國民黨,中國國民黨,全國不分區及僑居國外國民,2012-02-01,否,,,1,1,1969-02-05,43,臺灣省,6,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
7,27,8,吳育昇,1,中國國民黨,中國國民黨,新北市第1選舉區,2012-02-01,否,,,1,1,1958-12-01,54,臺灣省,5,1,212343,215309,288221,376645,76.52,74.7,25.0,107821,50.77,17696,8.330000000000005,新北市1,1,7.352620601654053,2,,,0,0
8,29,8,呂學樟,1,中國國民黨,中國國民黨,新竹市選舉區,2012-02-01,否,,,1,1,1952-11-05,60,臺灣省,5,1,228717,233539,307851,416882,73.85,75.86,16.67,121848,53.27,26133,11.43,新竹市,1,8.345541000366211,3,,,0,0
9,30,8,呂玉玲,2,中國國民黨,中國國民黨,桃園縣第5選舉區,2012-02-01,否,,,1,1,1961-06-19,51,臺灣省,2,2,173310,177866,235906,314613,74.98,75.4,14.29,78504,45.29,17617,10.159999999999997,桃園縣5,1,8.055322647094727,0,,,0,0
10,31,8,周倪安,2,台灣團結聯盟,台灣團結聯盟,全國不分區及僑居國外國民,2014-02-10,否,,,95,95,1972-10-07,40,臺北市,5,2,,,,,,,,,,,,全國不分區及僑居國外國民,2,,0,,,0,0
11,35,8,姚文智,1,民主進步黨,民主進步黨,台北市第2選舉區,2012-02-01,否,,,16,16,1965-12-04,47,臺北市,5,2,198271,200699,259298,324903,79.81,77.4,20.0,99229,50.04,3110,1.5700000000000003,臺北市2,1,9.660627365112305,0,,,0,0
